,hall,floor,row,col
1043,OH,2F,02,15
1044,OH,2F,02,16
1045,OH,2F,02,17
1046,OH,2F,02,18
1047,OH,2F,02,19
1048,OH,2F,02,20
1049,OH,2F,02,21
1050,OH,2F,02,22
1051,OH,2F,02,23
1052,OH,2F,02,24
1053,OH,2F,02,25
1054,OH,2F,02,26
1055,OH,2F,02,27
1056,OH,2F,02,28
1057,OH,2F,02,29
1058,OH,2F,02,30
1059,OH,2F,02,31
1060,OH,2F,02,32
1061,OH,2F,02,33
1062,OH,2F,02,34
1063,OH,2F,02,35
1064,OH,2F,02,36
1065,OH,2F,02,37
1066,OH,2F,02,38
1067,OH,2F,02,39
1068,OH,2F,02,40
1069,OH,2F,02,41
1070,OH,2F,02,42
1071,OH,2F,02,43
1072,OH,2F,02,44
1073,OH,2F,02,45
1074,OH,2F,02,46
1075,OH,2F,02,47
1076,OH,2F,02,48
1077,OH,2F,03,01
1078,OH,2F,03,02
1079,OH,2F,03,03
1080,OH,2F,03,04
1081,OH,2F,03,05
1082,OH,2F,03,06
1083,OH,2F,03,07
1084,OH,2F,03,08
1085,OH,2F,03,09
1086,OH,2F,03,10
1087,OH,2F,03,11
1088,OH,2F,03,12
1089,OH,2F,03,13
1090,OH,2F,03,14
1091,OH,2F,03,15
1092,OH,2F,03,16
1093,OH,2F,03,17
1094,OH,2F,03,18
1095,OH,2F,03,19
1096,OH,2F,03,20
1097,OH,2F,03,21
1098,OH,2F,03,22
1099,OH,2F,03,23
1100,OH,2F,03,24
1101,OH,2F,03,25
1102,OH,2F,03,26
1103,OH,2F,03,27
1104,OH,2F,03,28
1105,OH,2F,03,29
1106,OH,2F,03,30
1107,OH,2F,03,31
1108,OH,2F,03,32
1109,OH,2F,03,33
1110,OH,2F,03,34
1111,OH,2F,03,35
1112,OH,2F,03,36
1113,OH,2F,03,37
1114,OH,2F,03,38
1115,OH,2F,03,39
1116,OH,2F,03,40
1117,OH,2F,03,41
1118,OH,2F,03,42
1119,OH,2F,03,43
1120,OH,2F,03,44
1121,OH,2F,03,45
1122,OH,2F,03,46
1123,OH,2F,03,47
1124,OH,2F,03,48
1125,OH,2F,04,01
1126,OH,2F,04,02
1127,OH,2F,04,03
1128,OH,2F,04,04
1129,OH,2F,04,05
1130,OH,2F,04,06
1131,OH,2F,04,07
1132,OH,2F,04,08
1133,OH,2F,04,09
1134,OH,2F,04,10
1135,OH,2F,04,11
1136,OH,2F,04,12
1137,OH,2F,04,13
1138,OH,2F,04,14
1139,OH,2F,04,15
